reuse distance,histogram value,read histogram value
41984,33680,23792
43008,26624,19264
44032,22192,17728
45056,16960,13152
46080,12640,8896
47104,10528,7888
48128,17408,14864
49152,15712,13488
50176,18560,16704
51200,12096,9952
52224,9456,8192
53248,8368,6464
54272,9600,7904
55296,13264,11712
56320,17776,15776
57344,20576,17984
58368,14224,10080
59392,11056,8448
60416,13056,11264
61440,11632,9728
62464,10352,8864
63488,8176,6432
64512,9424,7216
65536,22192,17872
67584,23568,20784
69632,19744,17104
71680,19312,16704
73728,20688,18048
75776,16480,14448
77824,10624,8448
79872,11296,9408
81920,8464,6016
83968,18496,14688
86016,20048,15120
88064,15568,11504
90112,10128,5136
92160,14960,7136
94208,15872,8976
96256,14688,9760
98304,9920,5872
100352,5584,3920
102400,4384,3072
104448,4224,2816
106496,5952,4688
108544,4912,4208
110592,7792,6864
112640,12384,9552
114688,6576,5328
116736,5248,3888
118784,6736,4128
120832,5328,4496
122880,6672,4496
124928,4880,3776
126976,3520,2656
129024,3168,2592
131072,13728,11728
135168,8864,7568
139264,6768,5296
143360,7184,5728
147456,6992,5344
151552,6512,5200
155648,12608,10848
159744,9744,8016
163840,8256,6128
167936,8800,7104
172032,7104,5568
176128,5248,4416
180224,4352,3440
184320,4592,3136
188416,6320,5104
192512,6208,5088
196608,4752,3904
200704,5056,3920
204800,4512,3456
208896,4224,3424
212992,4256,3232
217088,4272,3216
221184,4336,3552
225280,4816,4416
229376,5424,4592
233472,4528,3872
237568,3408,2816
241664,3920,3296
245760,4000,3600
249856,2768,2336
253952,2288,2032
258048,2176,1872
262144,6192,5472
270336,5664,4912
278528,5408,4848
286720,7216,6016
294912,4496,3680
303104,4272,3328
311296,4288,3568
319488,4384,3376
327680,3312,2576
335872,3232,2608
344064,2608,2112
352256,3776,3424
360448,4336,4128
368640,2896,2704
376832,3008,2704
385024,3504,3040
393216,2816,2496
401408,3584,2816
409600,3184,2448
417792,2672,2400
425984,1904,1600
434176,2768,2528
442368,2128,1952
450560,2400,2144
