reuse distance,histogram value,read histogram value
34816,89568,81504
35840,81328,74256
36864,81600,74656
37888,79232,72640
38912,74048,67808
39936,71664,65888
40960,70640,64672
41984,65936,60704
43008,65392,59920
44032,64176,59088
45056,61472,56496
46080,58544,53968
47104,56784,51632
48128,56128,51632
49152,54784,49392
50176,53888,49200
51200,51984,46976
52224,53632,49040
53248,51184,46720
54272,48368,44336
55296,49232,44848
56320,48512,44240
57344,46720,42592
58368,45872,42096
59392,46320,41936
60416,42672,38880
61440,42848,39056
62464,42464,38112
63488,39904,36640
64512,40336,37056
65536,78816,71680
67584,77216,69552
69632,75760,68704
71680,74592,67648
73728,68864,62528
75776,71296,65296
77824,67840,61232
79872,67856,61568
81920,66464,60848
83968,66096,60208
86016,62400,56576
88064,63072,57232
90112,60864,55216
92160,59232,53728
94208,56592,51280
96256,55200,49680
98304,53648,47856
100352,51904,46304
102400,50272,44368
104448,50640,45664
106496,48560,42848
108544,48976,43696
110592,49216,43760
112640,48416,43408
114688,47024,41712
116736,45072,40304
118784,44336,39408
120832,47280,41600
122880,51168,46192
124928,46272,41296
126976,44016,38544
129024,42912,37856
131072,83392,73504
135168,81216,70768
139264,85104,72704
143360,83200,71168
147456,86832,73456
151552,90688,75840
155648,91344,75088
159744,99568,81968
163840,103328,83920
167936,111584,88672
172032,118368,93392
176128,124816,97216
180224,131920,102688
184320,140544,108512
188416,150688,114816
192512,157456,118944
196608,158960,118896
200704,170464,128944
204800,176624,131632
208896,179120,133840
212992,177616,132080
217088,175248,130048
221184,180000,132432
225280,179824,131984
229376,175456,127440
233472,174160,128368
237568,163088,120256
241664,157232,116240
245760,164752,120928
249856,161024,118608
253952,148736,107920
258048,141680,104304
262144,261760,193232
270336,241760,177648
278528,209888,155152
286720,176112,131264
294912,148016,111200
303104,130672,98864
311296,122944,95728
319488,113104,87648
327680,93360,74096
335872,81104,66272
344064,72960,59264
352256,64240,53040
360448,55616,47360
368640,55600,46576
376832,52480,44672
385024,48192,40864
393216,45232,38448
401408,45936,39040
409600,44944,38528
417792,45904,39040
425984,41616,34672
434176,40128,34000
442368,43136,36800
450560,41824,34592
458752,39088,32896
466944,41008,33568
475136,38560,32288
483328,36944,30752
491520,37616,31312
499712,34768,29344
507904,33584,28880
516096,37584,31680
524288,68352,57488
540672,66064,56000
557056,60864,52352
573440,59488,49984
589824,60688,51536
606208,55984,46672
622592,56176,46896
638976,52992,44880
655360,50336,42784
671744,52704,43424
688128,48656,39936
704512,48528,40192
720896,46352,38224
737280,44928,38064
753664,44736,37088
770048,42656,35840
786432,40880,33984
802816,39520,33552
819200,38112,32448
835584,38432,32032
851968,36416,30752
868352,34960,29904
884736,33744,29088
901120,35520,30304
917504,33056,28352
933888,33520,28400
950272,32704,27600
966656,30944,26320
983040,30880,26528
999424,30240,25888
1015808,29744,26048
1032192,29584,26000
1048576,56896,49280
1081344,55744,48464
1114112,54656,46800
1146880,55392,46192
1179648,54432,46032
1212416,50496,43248
1245184,53792,43776
1277952,52688,42624
1310720,55024,44656
1343488,52032,41984
1376256,51264,40352
1409024,53936,42208
1441792,51376,40736
1474560,48912,39168
1507328,50944,40160
1540096,52224,40064
1572864,55792,42416
1605632,54048,39600
1638400,58624,41552
1671168,59072,42672
1703936,60096,41920
1736704,58480,41472
1769472,59936,43248
1802240,57328,43408
1835008,50016,39760
1867776,46336,37136
1900544,48336,37680
1933312,51232,40432
