reuse distance,histogram value,read histogram value
59392,1808,400
60416,1200,192
61440,1488,448
62464,1184,80
63488,1248,368
64512,1248,336
65536,1120,432
67584,1104,464
69632,1408,752
71680,1152,256
73728,704,304
75776,1152,400
77824,512,192
79872,192,64
81920,80,48
83968,144,112
86016,112,80
88064,272,208
90112,128,96
92160,176,80
94208,224,80
96256,464,224
98304,96,48
100352,32,0
102400,16,0
104448,16,16
106496,20256,11632
108544,11184,5376
110592,11040,6736
112640,5632,4224
114688,592,128
116736,432,64
118784,608,0
120832,352,0
122880,272,16
124928,288,16
126976,912,480
129024,944,288
131072,1120,336
135168,336,208
139264,1424,0
143360,1088,112
147456,1056,32
151552,848,64
155648,416,0
159744,960,16
163840,512,64
167936,496,64
172032,336,48
176128,2720,1040
180224,6416,4288
184320,5008,3072
188416,1728,1200
192512,272,32
196608,80,0
200704,352,48
204800,256,144
208896,512,240
212992,272,48
217088,80,32
221184,64,16
225280,32,0
229376,16,0
233472,48,16
237568,256,0
241664,176,16
245760,480,0
249856,176,32
253952,304,0
258048,304,16
262144,272,16
270336,416,0
278528,96,0
286720,160,0
294912,80,48
303104,32,16
311296,16,0
319488,16,0
327680,48,0
335872,0,0
344064,32,32
352256,16,0
360448,80,32
368640,16,0
376832,32,0
385024,32,0
393216,32,16
401408,16,0
409600,0,0
417792,16,0
425984,1152,1152
434176,880,176
442368,656,416
450560,672,336
458752,336,0
466944,32,0
475136,0,0
483328,16,0
491520,0,0
499712,0,0
507904,0,0
516096,16,0
524288,64,48
540672,1360,608
557056,11136,7952
573440,6592,4720
589824,784,528
606208,48,32
622592,16,0
638976,32,16
655360,16,16
671744,16,0
688128,96,48
704512,16,16
720896,864,688
737280,304,192
753664,304,112
770048,80,64
786432,16,0
802816,16,0
819200,16,16
835584,32,0
851968,0,0
868352,32,16
884736,16,0
901120,224,144
917504,1600,1120
933888,2336,1584
950272,1040,768
966656,1392,1072
983040,48,48
999424,16,16
1015808,16,16
1032192,0,0
1048576,64,32
1081344,32,16
1114112,240,224
1146880,208,160
1179648,32,16
1212416,16,16
1245184,0,0
1277952,32,32
1310720,48,48
1343488,16,16
1376256,0,0
1409024,0,0
1441792,0,0
1474560,0,0
1507328,0,0
1540096,0,0
1572864,0,0
1605632,0,0
1638400,16,0
1671168,0,0
1703936,0,0
1736704,0,0
1769472,0,0
1802240,48,48
1835008,0,0
1867776,144,144
1900544,48,48
1933312,0,0
1966080,16,16
1998848,16,16
2031616,0,0
2064384,48,48
2097152,160,160
2162688,0,0
