reuse distance,histogram value,read histogram value
41984,54848,54720
43008,52496,52432
44032,52736,52528
45056,50768,50592
46080,49216,49008
47104,49120,48896
48128,46976,46864
49152,45888,45664
50176,46736,46576
51200,44784,44512
52224,43184,42880
53248,46432,46272
54272,45808,45584
55296,44528,44352
56320,41216,41024
57344,41680,41472
58368,40512,40352
59392,39488,39344
60416,40848,40656
61440,44928,44720
62464,40512,40336
63488,35984,35872
64512,38128,38000
65536,77520,77056
67584,77648,77200
69632,73056,72688
71680,74384,74112
73728,71936,71616
75776,71696,71456
77824,70384,70096
79872,66144,65792
81920,64544,64048
83968,64000,63504
86016,60880,60528
88064,59616,59232
90112,58608,58352
92160,57712,57408
94208,57408,56992
96256,57296,57008
98304,55744,55344
100352,52064,51744
102400,51440,51088
104448,50528,50112
106496,50560,50272
108544,51120,50848
110592,50240,49968
112640,49520,49120
114688,46992,46784
116736,48496,48192
118784,48112,47680
120832,48528,48112
122880,46064,45680
124928,44928,44608
126976,42352,42080
129024,44240,43936
131072,86416,85776
135168,81936,81344
139264,79648,78944
143360,78640,77968
147456,74432,73680
151552,73280,72400
155648,72192,71264
159744,68032,67280
163840,65840,65040
167936,63488,62560
172032,62224,61424
176128,61088,60176
180224,61248,60336
184320,58000,57056
188416,60224,59440
192512,56608,55824
196608,63888,62960
200704,52496,51648
204800,51792,50800
208896,51952,51184
212992,51296,50512
217088,50528,49632
221184,48096,47184
225280,48896,47984
229376,47888,47168
233472,45376,44480
237568,44624,43840
241664,43056,42032
245760,42912,42048
249856,40080,39248
253952,40416,39584
258048,39616,38912
262144,77200,75648
270336,71584,69856
278528,72000,70800
286720,67824,66176
294912,66976,65184
303104,62064,60288
311296,62288,60784
319488,62288,60592
327680,60672,59088
335872,65216,63552
344064,56640,54928
352256,55008,53056
360448,52432,50976
368640,52288,50656
376832,51760,50208
385024,49600,48304
393216,46272,45200
401408,48704,47216
409600,60960,59504
417792,50800,49616
425984,43136,42272
434176,40384,39568
442368,38688,37920
450560,37376,36672
458752,40240,39600
466944,36560,36000
475136,33344,32976
483328,32320,31808
491520,33184,32816
499712,31456,31136
507904,29680,29296
516096,29952,29488
524288,56160,54992
540672,56992,55888
557056,51888,51008
573440,50928,49984
589824,50544,49648
606208,49120,48432
622592,45040,44320
638976,43200,42416
655360,44096,43520
671744,38400,37408
688128,37952,37280
704512,38416,37680
720896,36064,35424
737280,36528,35648
753664,34256,33104
770048,32080,31104
786432,30672,29536
802816,31168,30320
819200,29392,28384
835584,29216,28080
851968,28032,26752
868352,27504,26112
884736,24480,23376
901120,24864,23344
917504,24080,22896
933888,30672,29456
950272,21568,20368
966656,21088,19728
983040,23168,21872
999424,20320,19024
1015808,21632,19968
1032192,21808,20336
1048576,43776,40496
1081344,40480,36752
1114112,38496,35264
1146880,35504,32496
1179648,35328,32080
1212416,34800,31376
1245184,32736,29824
1277952,32528,28560
1310720,34896,31168
1343488,33424,29744
1376256,33696,30528
1409024,31424,28880
1441792,33456,30448
1474560,28336,25600
1507328,27120,24224
1540096,24816,21568
1572864,23072,20080
1605632,20880,18144
1638400,20560,17888
1671168,20528,17568
1703936,19392,17056
1736704,18048,15184
1769472,17968,15168
1802240,20512,17776
1835008,19392,16912
1867776,21120,18224
1900544,19776,17184
1933312,18048,15712
1966080,17616,15088
1998848,17984,15024
2031616,15392,13008
2064384,17600,15104
2097152,33408,28064
2162688,27888,22032
2228224,30592,25072
2293760,24720,19232
2359296,26752,21856
2424832,24944,19664
2490368,21680,16816
2555904,21664,17152
2621440,18768,14864
2686976,20352,15872
2752512,21120,16880
2818048,18528,14336
2883584,18976,14512
2949120,17520,13104
3014656,16976,13168
3080192,15136,11584
3145728,16816,12592
3211264,15776,11648
3276800,17536,12400
3342336,18432,13360
3407872,15328,10992
3473408,15104,10960
3538944,15520,11808
3604480,15168,11424
3670016,14032,10560
