reuse distance,histogram value,read histogram value
53248,976,736
54272,880,736
55296,704,544
56320,864,592
57344,720,496
58368,640,448
59392,848,656
60416,1120,944
61440,1040,752
62464,1120,896
63488,800,656
64512,768,592
65536,1648,1440
67584,2000,1616
69632,1888,1440
71680,2160,1840
73728,2048,1808
75776,1632,1392
77824,1504,1312
79872,1840,1632
81920,2064,1920
83968,2256,2064
86016,1648,1568
88064,1760,1536
90112,1824,1712
92160,1632,1440
94208,2080,1856
96256,1712,1584
98304,1680,1408
100352,1248,1008
102400,1392,1184
104448,1696,1584
106496,1248,1088
108544,1472,1360
110592,1376,1232
112640,1360,1248
114688,1248,1056
116736,912,832
118784,768,624
120832,848,784
122880,1248,992
124928,1264,1120
126976,2192,2064
129024,2272,2096
131072,2320,2048
135168,2432,2096
139264,2080,1856
143360,4336,4080
147456,6672,6400
151552,7568,7280
155648,7792,7696
159744,6560,6384
163840,9232,8880
167936,9152,8528
172032,8880,8064
176128,17296,13744
180224,37824,35184
184320,8320,7648
188416,8224,7296
192512,8624,7776
196608,9664,8672
200704,7424,6816
204800,6624,6128
208896,5760,5120
212992,5152,4608
217088,5840,5040
221184,5936,5328
225280,5232,4640
229376,5328,4432
233472,5056,4368
237568,12800,12416
241664,16208,15520
245760,15456,15168
249856,16000,15504
253952,16736,16416
258048,15792,15456
262144,19024,18208
270336,8752,7824
278528,11600,10960
286720,9392,7904
294912,5584,5040
303104,4272,3648
311296,5072,4384
319488,5024,4416
327680,4704,4096
335872,5680,4528
344064,5488,4496
352256,4912,4288
360448,4304,3456
368640,4672,3904
376832,5184,4464
385024,4176,3664
393216,4144,3696
401408,4128,3488
409600,4592,4064
417792,4048,3488
425984,4384,3856
434176,2992,2624
442368,4640,4096
450560,4000,3232
458752,4064,3552
466944,4224,3584
475136,4128,3744
483328,5024,4416
491520,4576,4176
499712,4720,4080
507904,5024,4432
516096,3824,3424
524288,6400,5776
540672,6320,5904
557056,6160,5584
573440,5488,4928
589824,4624,4128
606208,4640,4416
622592,4720,4528
638976,5376,5168
655360,4416,4256
671744,3648,3536
688128,4288,4176
704512,3120,3040
720896,4064,3984
737280,3152,3040
753664,3200,3152
770048,2736,2656
786432,2864,2768
802816,2752,2656
819200,2784,2656
835584,2944,2848
851968,2144,2016
868352,2880,2640
884736,2032,1920
901120,2320,2208
917504,1968,1872
933888,2064,1920
950272,1760,1648
966656,2128,2064
983040,1904,1808
999424,1984,1840
1015808,2176,2080
1032192,1984,1920
1048576,4224,4080
1081344,3536,3312
1114112,3872,3776
1146880,4192,4080
1179648,3968,3872
1212416,3696,3568
1245184,3568,3456
1277952,3728,3600
1310720,3472,3312
1343488,4192,4032
1376256,3456,3248
1409024,3952,3760
1441792,3504,3328
1474560,3920,3696
1507328,4000,3776
1540096,4016,3840
1572864,3584,3440
1605632,4144,3888
1638400,3616,3552
1671168,3888,3776
1703936,3072,3024
1736704,304,224
1769472,224,32
1802240,160,48
1835008,256,64
1867776,2736,2592
1900544,3792,3648
1933312,3952,3760
1966080,3888,3744
1998848,3984,3824
2031616,3776,3584
2064384,3600,3488
2097152,7216,6816
2162688,6784,6592
2228224,288,48
2293760,336,112
2359296,416,160
2424832,528,112
2490368,464,80
2555904,480,160
2621440,688,208
2686976,320,64
2752512,352,80
2818048,448,96
2883584,480,64
2949120,416,128
3014656,848,160
3080192,384,80
3145728,448,128
3211264,480,128
3276800,336,128
3342336,320,128
3407872,432,96
3473408,464,96
3538944,368,80
3604480,288,112
3670016,384,64
3735552,416,96
3801088,432,48
3866624,336,112
3932160,320,64
3997696,320,64
4063232,560,80
4128768,272,80
4194304,608,208
4325376,608,160
4456448,672,64
4587520,896,112
4718592,768,160
4849664,496,160
4980736,704,224
5111808,768,176
5242880,720,144
5373952,784,288
5505024,1264,768
5636096,1312,656
5767168,1184,736
5898240,1344,768
6029312,1200,672
6160384,1408,768
6291456,1376,672
6422528,784,192
6553600,624,128
6684672,704,128
6815744,816,128
6946816,464,48
7077888,688,96
7208960,816,128
7340032,816,112
7471104,608,128
7602176,560,128
7733248,736,64
7864320,800,208
7995392,496,144
8126464,544,80
8257536,784,160
8388608,1104,240
8650752,1312,224
8912896,1248,128
9175040,1008,176
9437184,1424,160
9699328,1888,944
9961472,1920,864
10223616,1904,912
10485760,1744,880
10747904,1728,720
11010048,2032,848
11272192,1760,768
11534336,1536,752
11796480,1840,880
12058624,2336,1456
12320768,4784,3728
12582912,3968,2832
12845056,2688,1680
13107200,3056,1872
13369344,3424,2352
13631488,3296,2208
13893632,2928,2064
14155776,2720,2256
14417920,2512,2272
14680064,2000,1728
14942208,2336,2096
15204352,2192,1968
15466496,2208,1920
15728640,2000,1376
15990784,29120,22784
16252928,81984,58464
16515072,31072,25280
16777216,7104,6640
17301504,7760,7152
17825792,8464,7744
18350080,7648,6928
18874368,7872,7216
19398656,6640,6176
19922944,4784,4016
20447232,4288,3728
20971520,4448,3920
21495808,3328,2752
22020096,3888,3232
22544384,4512,3792
23068672,5120,4384
23592960,6112,5296
24117248,6704,6144
24641536,6176,5904
25165824,6096,5920
25690112,4448,4272
26214400,6128,5728
26738688,45808,44672
27262976,6608,6256
27787264,8048,7680
28311552,9360,8736
28835840,14896,13664
29360128,16656,16304
29884416,6320,6096
30408704,5712,5504
30932992,4080,3904
31457280,4208,4016
31981568,5088,4944
32505856,5872,5360
33030144,5936,5760
33554432,5520,5408
34603008,2400,2400
35651584,2880,2880
36700160,2368,2368
37748736,2752,2720
38797312,2960,2960
39845888,2368,2368
40894464,2336,2336
41943040,2656,2656
42991616,2400,2400
44040192,672,672
45088768,304,304
46137344,448,448
47185920,400,400
48234496,320,320
49283072,224,224
50331648,432,432
51380224,592,592
52428800,384,384
53477376,368,368
54525952,368,368
55574528,352,352
56623104,400,400
57671680,816,816
58720256,1024,1024
59768832,1312,1312
60817408,1440,1440
61865984,1152,1136
62914560,1120,1120
63963136,832,832
65011712,704,704
66060288,928,928
67108864,1680,1680
69206016,1360,1344
71303168,1328,1328
73400320,6160,6160
75497472,6960,6960
77594624,1888,1888
79691776,1776,1776
81788928,1504,1504
83886080,3232,3232
85983232,2752,2752
88080384,2016,2000
90177536,2048,2048
92274688,144,144
94371840,160,144
96468992,144,64
98566144,48,48
100663296,48,48
102760448,16,16
104857600,80,80
106954752,208,112
109051904,816,816
111149056,3616,3616
113246208,3376,3376
115343360,3344,3312
117440512,3632,3632
119537664,64,64
121634816,12064,5232
123731968,8112,3344
125829120,9488,4304
127926272,6816,2896
130023424,7776,2832
132120576,9104,2784
134217728,44992,37680
138412032,3920,48
142606336,0,0
146800640,16,16
150994944,448,16
155189248,560,64
159383552,0,0
163577856,3920,3904
167772160,928,768
171966464,128,0
176160768,0,0
180355072,0,0
184549376,0,0
188743680,0,0
192937984,15216,14176
197132288,29648,24912
201326592,2912,48
205520896,2800,16
