reuse distance,histogram value,read histogram value
37888,37376,22512
38912,33520,19344
39936,31440,19376
40960,29360,18032
41984,30672,20560
43008,30832,20432
44032,25952,16304
45056,21344,12384
46080,20256,12368
47104,21008,13440
48128,19056,12768
49152,19808,14064
50176,19136,13584
51200,23920,16944
52224,21440,15376
53248,17552,13184
54272,17440,12240
55296,16096,11168
56320,16448,10768
57344,15808,10368
58368,17072,10784
59392,16480,11312
60416,15888,10064
61440,17072,11008
62464,17248,11024
63488,19024,12496
64512,17584,10576
65536,32080,19312
67584,27008,17376
69632,26896,16032
71680,25808,17216
73728,29584,21072
75776,21488,14048
77824,21056,13552
79872,23408,13632
81920,23408,14224
83968,21360,12752
86016,22336,13296
88064,23920,14160
90112,25632,14752
92160,28784,14224
94208,28096,15824
96256,29952,17536
98304,22464,15360
100352,20256,13920
102400,16688,10464
104448,19120,12880
106496,16400,10272
108544,16224,8688
110592,14656,7744
112640,19280,11808
114688,24544,16288
116736,23456,15552
118784,24896,17056
120832,33712,25200
122880,15552,10496
124928,11648,8480
126976,11232,8400
129024,10368,7040
131072,18224,11456
135168,16352,10368
139264,17216,11872
143360,16400,10304
147456,14736,10048
151552,11968,7408
155648,12992,8016
159744,10256,6224
163840,12352,7120
167936,15776,9520
172032,15904,10576
176128,16432,10960
180224,16208,10448
184320,18464,12400
188416,18336,11648
192512,18352,9712
196608,14720,7536
200704,12080,7888
204800,11488,5600
208896,10192,4368
212992,9312,4240
217088,7600,4640
221184,8352,4864
225280,10208,6752
229376,9200,5472
233472,11440,5152
237568,13472,6224
241664,8560,5184
245760,8176,5728
249856,10368,7312
253952,8640,4688
258048,6160,4208
262144,19360,14448
270336,14576,8240
278528,11552,6128
286720,10992,6912
294912,10656,5360
303104,10032,5952
311296,8144,6288
319488,9056,4800
327680,8256,5456
335872,9264,6656
344064,7776,4752
352256,4688,3744
360448,6128,5280
368640,6768,5792
376832,7152,5520
385024,18080,6896
393216,10304,6800
401408,8336,6352
409600,7120,5200
417792,6160,5296
425984,4736,3952
434176,6432,3792
442368,7408,3776
450560,7280,4224
458752,5744,4512
466944,5520,4240
475136,6320,5248
483328,8352,7584
491520,4640,3472
499712,7616,4928
507904,6448,2832
516096,5232,3488
524288,5184,4160
540672,7120,6000
557056,5024,4128
573440,5408,3760
589824,6560,4480
606208,8240,4592
622592,5728,4416
638976,4400,3248
655360,4048,2768
671744,4256,3248
688128,4272,3456
704512,6576,5472
720896,6928,6752
737280,5504,4816
753664,4192,3408
770048,4592,3520
786432,4944,3808
802816,6784,5824
819200,6144,5280
835584,8144,7040
851968,9248,7616
868352,6352,4736
884736,6656,4400
901120,4720,3696
917504,4400,3648
933888,4384,3792
950272,3696,3456
966656,2864,2768
983040,3328,3040
999424,5088,4960
1015808,4336,4192
1032192,3600,3104
1048576,4032,3776
1081344,4304,3824
1114112,5744,3712
1146880,6192,4416
1179648,6512,5248
1212416,3664,2944
1245184,3984,3648
1277952,4576,3856
1310720,3152,3008
1343488,5136,4864
1376256,6192,5504
1409024,6672,5968
1441792,6016,5424
1474560,5664,4672
1507328,5344,5248
1540096,5440,4784
1572864,4304,3424
1605632,5024,4304
1638400,11696,11312
1671168,7712,7312
1703936,5792,4944
1736704,3376,3248
1769472,3328,3280
1802240,2448,2416
1835008,2720,2592
1867776,7968,6272
1900544,6704,2976
1933312,6304,2560
1966080,6368,1584
1998848,4576,3296
2031616,4368,2656
2064384,3376,2816
2097152,6304,5744
2162688,10160,10032
2228224,14864,14624
2293760,9392,7520
2359296,22752,22128
2424832,9888,8992
2490368,10112,8720
2555904,15344,5776
2621440,8768,4896
2686976,6176,5232
2752512,6224,4112
2818048,4768,4560
2883584,4384,4096
2949120,4480,3408
3014656,7648,3888
3080192,10224,6176
3145728,5024,4336
3211264,5952,5216
3276800,7680,5840
3342336,5328,4544
3407872,5440,3296
3473408,4176,4080
3538944,5600,4400
3604480,5776,5376
3670016,3120,3040
3735552,1696,1680
3801088,2624,2416
3866624,6992,6848
3932160,8912,8752
3997696,4368,4288
4063232,2944,2432
4128768,3632,3344
4194304,3584,3552
4325376,5856,4592
4456448,4544,4480
4587520,6416,3952
4718592,6512,6496
4849664,5456,5328
4980736,5424,5024
5111808,5344,5296
5242880,4368,3744
5373952,3328,3328
5505024,2784,2672
5636096,3040,3040
5767168,2304,2304
5898240,2208,2208
6029312,1488,1472
6160384,1488,1472
6291456,2704,2688
6422528,2032,2032
6553600,3088,3088
6684672,1360,1328
6815744,3248,3248
6946816,2608,2560
7077888,2208,2208
7208960,1760,1744
7340032,1600,1600
7471104,1344,1312
7602176,2080,1904
7733248,1584,1584
7864320,2224,2224
7995392,2928,2912
8126464,3056,3056
8257536,9984,9888
8388608,9120,9040
8650752,1104,1056
8912896,1648,1632
9175040,1392,1376
9437184,2560,2560
9699328,2768,2768
9961472,1696,1696
10223616,1184,1184
10485760,1440,1440
10747904,1136,1136
11010048,2432,2432
11272192,2976,2960
11534336,3888,3184
11796480,3920,3888
12058624,2320,2320
12320768,1856,1856
12582912,944,928
12845056,1408,1408
13107200,2016,2016
13369344,992,992
13631488,2416,2416
13893632,1312,1312
14155776,1680,1680
14417920,2224,2224
14680064,1280,1280
14942208,1312,1312
15204352,464,432
15466496,592,592
15728640,352,304
15990784,400,384
16252928,1056,1056
16515072,576,576
16777216,720,672
17301504,736,720
17825792,1888,1888
18350080,2496,2496
18874368,3904,3904
19398656,544,544
19922944,368,368
20447232,128,128
20971520,496,480
21495808,640,352
22020096,400,288
22544384,896,752
23068672,1280,1168
23592960,688,576
24117248,304,304
24641536,1152,1104
25165824,1168,1136
25690112,1408,1408
26214400,704,704
26738688,656,624
27262976,1584,1584
27787264,1456,1456
28311552,688,688
28835840,592,592
29360128,496,496
29884416,1168,848
30408704,1280,928
30932992,576,576
31457280,192,192
31981568,144,144
32505856,192,192
33030144,192,160
33554432,1408,1376
34603008,720,640
35651584,480,480
36700160,272,176
37748736,384,320
38797312,688,304
39845888,16,16
40894464,224,48
41943040,608,400
42991616,512,480
44040192,416,416
45088768,176,176
46137344,320,320
47185920,288,288
48234496,128,128
49283072,16,16
50331648,144,144
51380224,32,32
52428800,256,256
53477376,432,432
54525952,288,288
55574528,2192,2192
56623104,672,672
57671680,736,736
58720256,272,272
59768832,224,224
60817408,448,448
61865984,272,272
62914560,496,496
63963136,208,208
65011712,224,208
66060288,304,192
67108864,288,288
69206016,800,800
71303168,144,128
73400320,784,512
75497472,400,400
77594624,720,656
79691776,784,784
81788928,832,752
83886080,1536,1376
85983232,496,480
88080384,1072,1056
90177536,352,352
92274688,1008,992
94371840,736,736
96468992,1088,1088
98566144,784,784
100663296,688,688
102760448,800,800
104857600,560,560
106954752,1216,1216
109051904,1312,1312
111149056,272,272
113246208,704,704
115343360,416,416
117440512,336,336
119537664,512,512
121634816,1248,1152
123731968,1392,1392
125829120,2768,2768
127926272,1552,1536
130023424,384,384
132120576,224,224
134217728,544,544
138412032,176,176
142606336,256,256
146800640,80,80
150994944,32,32
155189248,144,144
159383552,208,208
163577856,16,16
167772160,0,0
171966464,16,16
176160768,32,32
180355072,16,16
184549376,64,64
188743680,0,0
192937984,0,0
197132288,0,0
201326592,16,16
205520896,48,48
209715200,64,64
213909504,64,64
218103808,96,96
222298112,208,208
226492416,192,192
230686720,368,368
234881024,0,0
239075328,0,0
243269632,0,0
247463936,16,16
251658240,16,16
255852544,0,0
260046848,0,0
264241152,0,0
268435456,48,16
276824064,64,48
285212672,672,64
293601280,240,240
301989888,256,256
310378496,224,208
318767104,128,128
327155712,48,48
335544320,0,0
343932928,96,96
352321536,112,112
360710144,96,96
369098752,32,32
377487360,0,0
385875968,0,0
394264576,0,0
402653184,0,0
411041792,0,0
419430400,0,0
427819008,80,80
436207616,144,144
444596224,0,0
452984832,0,0
461373440,0,0
469762048,0,0
478150656,0,0
486539264,0,0
494927872,0,0
503316480,0,0
511705088,0,0
520093696,0,0
528482304,0,0
536870912,0,0
553648128,0,0
570425344,0,0
587202560,0,0
603979776,0,0
620756992,0,0
637534208,0,0
654311424,0,0
671088640,0,0
687865856,0,0
704643072,0,0
721420288,0,0
738197504,0,0
754974720,0,0
771751936,0,0
788529152,0,0
805306368,0,0
822083584,0,0
838860800,0,0
855638016,0,0
872415232,0,0
889192448,0,0
905969664,0,0
922746880,0,0
939524096,0,0
956301312,0,0
973078528,0,0
989855744,0,0
1006632960,0,0
1023410176,0,0
1040187392,0,0
1056964608,0,0
1073741824,0,0
1107296256,0,0
1140850688,0,0
1174405120,0,0
1207959552,0,0
1241513984,0,0
1275068416,0,0
1308622848,0,0
1342177280,0,0
1375731712,0,0
1409286144,0,0
1442840576,0,0
1476395008,0,0
1509949440,0,0
1543503872,0,0
1577058304,0,0
1610612736,0,0
1644167168,0,0
1677721600,0,0
1711276032,0,0
1744830464,0,0
1778384896,0,0
1811939328,0,0
1845493760,0,0
1879048192,0,0
1912602624,0,0
1946157056,0,0
1979711488,0,0
2013265920,0,0
2046820352,0,0
2080374784,0,0
2113929216,0,0
2147483648,0,0
2214592512,0,0
2281701376,0,0
2348810240,0,0
2415919104,0,0
2483027968,0,0
2550136832,0,0
2617245696,0,0
2684354560,0,0
2751463424,0,0
2818572288,0,0
2885681152,0,0
2952790016,0,0
3019898880,0,0
3087007744,0,0
3154116608,0,0
3221225472,0,0
3288334336,0,0
3355443200,0,0
3422552064,0,0
3489660928,0,0
3556769792,0,0
3623878656,0,0
3690987520,0,0
3758096384,0,0
3825205248,0,0
3892314112,0,0
3959422976,0,0
4026531840,0,0
4093640704,0,0
4160749568,0,0
4227858432,0,0
