reuse distance,histogram value,read histogram value
92160,112,80
94208,32,16
96256,32,32
98304,544,528
100352,80,80
102400,64,48
104448,80,48
106496,96,16
108544,0,0
110592,16,16
112640,32,32
114688,288,240
116736,64,64
118784,0,0
120832,64,64
122880,16,0
124928,32,0
126976,48,32
129024,48,48
131072,144,112
135168,80,64
139264,80,80
143360,144,144
147456,112,112
151552,80,32
155648,560,528
159744,96,96
163840,112,96
167936,64,32
172032,64,0
176128,96,32
180224,48,16
184320,304,256
188416,32,32
192512,32,32
196608,64,64
200704,80,80
204800,160,160
208896,64,64
212992,48,32
217088,96,96
221184,64,64
225280,32,32
229376,624,624
233472,80,80
237568,48,48
241664,48,48
245760,64,64
249856,112,112
253952,0,0
258048,112,112
262144,160,160
270336,272,272
278528,48,48
286720,48,48
294912,96,96
303104,64,64
311296,256,256
319488,880,880
327680,96,96
335872,112,112
344064,64,64
352256,96,96
360448,240,240
368640,384,384
376832,160,160
385024,80,80
393216,32,32
401408,32,32
409600,224,224
417792,704,704
425984,224,224
434176,176,176
442368,80,80
450560,176,176
458752,80,80
466944,176,176
475136,32,32
483328,96,96
491520,336,336
499712,256,256
507904,240,240
516096,80,80
524288,672,672
540672,352,352
557056,80,80
573440,240,224
589824,160,160
606208,160,144
622592,544,544
638976,224,224
655360,848,848
671744,1360,1360
688128,304,304
704512,384,352
720896,105616,105616
737280,75376,67184
753664,96,80
770048,320,320
786432,528,496
802816,1088,688
819200,32,32
835584,128,128
851968,45360,45360
868352,17408,14400
884736,16,16
901120,0,0
917504,64,16
933888,224,128
950272,0,0
966656,0,0
983040,0,0
999424,0,0
1015808,16,0
1032192,128,64
1048576,0,0
1081344,0,0
1114112,0,0
1146880,0,0
1179648,0,0
1212416,0,0
1245184,0,0
1277952,0,0
1310720,0,0
1343488,0,0
1376256,0,0
1409024,0,0
1441792,0,0
1474560,0,0
1507328,0,0
1540096,0,0
1572864,0,0
1605632,0,0
1638400,0,0
1671168,0,0
1703936,0,0
1736704,0,0
1769472,0,0
1802240,0,0
1835008,0,0
1867776,0,0
1900544,0,0
