filename,accesses,hits
381480,248891
82,0
40,0
95,0
37,0
76,0
37,0
95,0
30,0
82,0
40,0
95,0
37,0
76,0
37,0
95,0
30,0
84,2
40,0
95,0
37,0
76,0
37,0
95,0
30,0
84,2
40,0
94,0
34,1
4984,165
40043,21419
9693,7839
8283,6180
7565,5030
7421,4027
30746,16775
21448,18421
9052,7155
7789,5594
7481,4773
8320,4277
41996,28099
9936,8068
8289,6239
7525,5102
7483,4309
26800,14569
18271,14326
335,261
56,43
95,81
54,47
111,80
60,46
95,81
51,43
139,109
61,49
100,85
45,39
124,92
56,43
100,85
52,44
134,104
58,46
107,92
48,42
128,97
61,48
103,88
54,46
135,105
60,48
107,92
50,44
146,113
53,42
109,93
55,48
141,111
58,45
104,89
51,45
139,106
48,37
111,95
52,45
145,115
58,45
110,95
48,42
141,108
50,39
117,100
45,39
151,119
52,40
112,97
55,49
140,105
53,42
117,100
44,38
149,117
50,38
113,98
53,47
147,112
53,42
111,94
43,37
147,115
49,38
118,102
44,39
152,116
52,42
115,98
48,42
154,120
43,33
117,101
47,42
151,115
52,42
116,100
41,35
146,111
46,36
108,92
43,38
150,114
52,41
120,104
46,40
155,120
42,33
120,103
36,32
148,111
48,38
121,105
41,35
148,113
38,29
121,104
35,31
143,106
47,38
116,99
41,35
145,110
36,27
118,101
36,32
146,107
35,28
119,101
34,29
139,104
39,31
115,97
39,35
137,98
34,27
119,101
36,31
138,102
43,35
114,95
37,31
144,105
36,28
124,105
28,25
145,107
32,26
115,96
37,31
142,103
35,27
120,101
28,25
146,108
35,29
114,95
37,31
142,103
39,30
120,101
28,25
141,103
33,27
121,101
31,26
141,100
35,27
119,100
31,28
141,102
30,25
121,101
30,24
135,94
34,26
117,98
33,30
137,98
31,26
119,100
29,23
138,96
34,27
115,95
31,28
141,99
30,25
118,96
22,19
133,91
35,28
110,89
30,27
141,99
27,21
114,92
23,20
131,89
35,28
107,87
30,27
140,98
26,20
113,89
24,21
137,93
25,21
110,89
22,20
133,90
25,19
114,91
25,21
136,92
25,21
107,86
22,20
132,89
24,18
113,88
21,17
136,90
23,19
113,89
14,14
137,91
19,14
111,87
21,17
139,90
21,16
109,85
13,13
133,87
19,14
108,84
22,17
140,93
21,16
111,87
15,15
137,88
15,13
112,86
16,12
137,89
18,14
112,88
15,15
137,88
15,13
111,84
16,12
136,87
19,15
114,89
15,15
138,89
15,13
110,83
16,12
139,87
17,14
113,86
14,14
140,87
13,12
115,84
11,9
139,88
16,13
112,83
14,14
143,89
12,11
113,82
11,9
137,86
17,14
116,88
12,11
139,83
12,11
113,79
17,12
135,85
13,11
112,85
12,11
139,84
12,11
114,80
17,12
135,86
14,12
112,85
12,11
138,81
12,11
113,78
23,17
130,80
20,17
104,77
15,12
135,80
14,12
112,77
23,17
128,78
20,17
104,75
15,12
135,80
13,11
112,77
23,17
128,75
21,18
105,76
19,15
129,77
21,17
105,71
25,18
126,74
20,17
106,75
19,15
128,73
20,16
105,71
24,17
126,77
20,17
105,74
19,14
129,74
23,19
100,66
25,17
123,74
20,15
105,74
23,16
127,70
24,18
99,66
26,17
123,74
20,15
105,75
23,15
126,69
24,18
98,65
26,17
123,73
25,19
99,68
24,15
123,64
24,19
99,62
29,19
118,71
25,19
99,67
24,15
122,62
24,19
97,58
30,20
118,71
25,19
99,69
24,16
122,62
24,19
97,59
32,20
117,65
31,24
92,61
29,18
117,57
24,19
97,58
33,21
115,60
31,23
92,60
28,17
116,54
24,19
97,57
33,22
117,61
31,22
95,63
31,17
113,53
29,22
92,54
36,23
111,53
31,22
94,61
31,17
113,51
29,20
92,51
36,22
113,55
31,22
93,58
31,16
116,52
32,19
87,49
38,22
112,54
31,22
93,57
35,16
109,50
32,18
88,49
38,20
113,54
31,22
93,57
36,14
110,51
32,18
87,45
38,19
111,51
37,25
86,53
37,14
110,51
32,17
87,44
42,19
106,48
37,25
87,54
38,14
110,49
32,18
87,44
42,18
110,53
37,25
87,51
41,13
102,44
32,18
87,41
44,21
106,49
41,28
81,46
42,14
101,41
32,18
87,41
44,19
106,49
41,27
85,49
42,13
101,41
32,18
86,38
46,19
104,49
40,27
85,49
44,14
96,37
37,19
81,37
46,19
105,48
40,24
86,51
44,14
96,35
37,18
81,35
46,19
106,48
40,23
87,51
48,14
93,35
41,18
77,34
48,18
103,45
40,22
87,50
49,16
93,35
41,18
78,34
48,18
103,46
40,22
87,47
49,16
92,35
41,16
78,33
52,19
97,41
45,24
82,40
51,18
91,32
41,15
78,33
52,19
99,41
45,23
8864,4494
33024,22740
493,395
86,72
95,78
97,73
78,69
79,64
90,72
117,91
70,61
90,77
96,79
99,75
78,69
80,65
88,70
120,94
70,61
90,77
95,78
102,78
72,63
79,64
87,69
120,94
69,60
89,76
92,74
96,71
69,60
76,61
86,68
122,96
69,60
96,83
93,75
104,79
70,61
76,60
89,71
117,91
75,65
91,78
91,73
107,82
73,64
76,62
96,76
109,85
78,68
90,75
93,76
112,87
72,63
87,73
95,75
108,84
80,70
89,73
91,74
116,91
77,68
84,69
99,79
106,83
74,64
87,71
91,73
118,93
75,66
80,65
98,78
111,87
75,65
86,71
88,69
114,88
69,60
80,65
93,73
113,89
67,57
84,70
83,63
116,90
70,61
82,67
92,72
111,88
72,61
76,63
88,66
106,82
73,64
78,63
88,68
110,87
71,60
77,64
91,69
106,83
72,63
75,59
87,67
105,81
72,61
77,64
85,63
104,81
71,62
68,52
84,63
101,77
70,59
74,61
86,63
105,82
66,57
72,56
82,61
101,77
65,54
74,60
80,57
101,78
71,62
71,55
84,63
94,69
61,50
74,60
85,62
103,81
69,59
70,56
85,63
100,76
59,48
75,59
96,72
94,73
68,58
76,62
83,61
99,74
61,50
75,60
92,68
94,73
65,55
70,56
78,55
93,68
63,52
77,60
86,62
92,70
66,56
68,54
79,56
92,66
67,56
74,57
83,59
88,65
63,52
69,56
79,56
88,64
62,50
72,54
80,56
82,59
62,52
72,59
75,52
86,61
63,51
71,53
80,55
81,59
66,55
65,53
78,54
84,60
62,50
69,51
80,57
80,58
65,53
66,53
