filename,accesses,hits
3087417,1725303
2163,1647
2139,1624
2181,1581
2028,1510
1707,1285
1978,1435
1736,1302
1941,1432
1975,1478
1984,1442
1616,1233
1939,1447
1802,1358
1766,1336
2072,1596
2204,1690
2290,1699
1949,1456
2090,1627
2069,1656
1862,1410
2231,1671
1864,1452
1843,1345
2150,1595
1791,1322
2087,1564
2015,1491
1760,1378
2276,1684
2313,1717
2125,1594
2311,1745
2125,1621
1578,1217
2034,1541
2052,1531
1682,1315
2066,1570
2402,1803
2062,1530
2309,1755
1965,1447
1664,1258
1794,1346
2347,1749
1516,1147
1751,1362
1964,1436
1997,1547
2292,1753
2025,1510
2119,1617
1843,1408
1921,1474
1745,1351
1747,1360
2050,1536
2022,1524
2191,1650
1912,1430
2033,1499
1547,1185
1906,1431
1840,1398
1839,1390
1779,1354
2232,1668
2040,1534
2038,1489
2122,1573
1975,1492
1917,1395
2193,1629
2068,1548
1913,1394
2150,1632
1796,1326
2010,1530
2336,1699
1843,1382
1739,1301
2125,1588
2040,1542
2025,1468
2016,1485
2036,1501
1715,1338
1911,1409
1863,1415
1962,1438
1847,1359
2223,1673
2011,1478
2180,1560
2105,1572
1770,1327
2154,1600
1876,1403
2050,1544
2033,1514
1987,1509
1697,1270
1950,1441
1824,1377
1760,1288
1803,1320
2143,1639
2029,1554
2142,1665
1989,1490
1953,1503
1938,1488
2304,1734
1907,1484
1837,1364
2189,1636
2045,1543
2039,1509
2203,1669
1791,1362
2256,1749
2505,1952
2157,1658
2103,1626
2216,1728
1885,1479
1766,1357
2415,1824
1946,1509
1693,1305
2215,1632
1813,1376
2067,1580
2276,1731
2089,1551
1813,1362
2114,1639
1862,1425
2033,1549
2084,1549
2232,1676
2248,1684
2113,1602
1983,1462
1866,1415
2434,1869
2114,1616
1963,1490
2244,1719
2361,1820
1577,1187
2155,1598
1842,1409
1676,1269
1857,1360
2237,1626
2020,1546
2101,1604
1977,1478
1733,1299
1810,1366
2252,1681
1779,1331
1932,1425
1966,1441
1819,1331
2223,1657
2209,1642
1723,1301
2120,1525
2264,1692
2013,1478
2159,1593
2095,1539
1612,1218
1789,1338
1926,1437
2049,1558
1780,1321
2242,1670
1868,1409
2038,1481
2067,1542
2149,1594
1625,1207
1924,1413
1719,1275
2111,1578
2097,1555
2110,1582
1758,1289
1933,1466
1893,1437
2256,1712
1852,1382
2194,1647
2501,1905
2072,1489
2152,1628
1777,1360
1940,1433
1637,1209
1797,1346
1702,1289
1592,1184
21947,7031
65596,21314
62343,20542
56728,18318
60373,19319
56690,35193
55766,31324
53679,29173
50893,26296
50796,22647
54015,22067
54058,19236
55386,21448
54817,23271
53907,17455
54430,17287
54400,20497
53858,19303
54134,20828
56469,20055
54286,19996
56028,18484
57153,17384
56167,19113
54610,18160
78333,11076
55805,5292
8648,162
12884,2088
28699,8027
1291,1042
1371,1095
1484,1210
1424,1149
1142,884
1430,1147
1611,1259
1316,1046
1589,1272
1816,1502
1934,1625
1511,1237
2968,2503
1541,1263
2220,1916
1979,1728
2395,2054
2090,1798
3648,2853
1458,1181
1309,1051
1245,971
1752,1427
1958,1672
1840,1566
1528,1252
1885,1577
1464,1175
1884,1537
1654,1374
2049,1709
1993,1657
1899,1575
2325,1974
1667,1378
2041,1697
1793,1504
2118,1766
1799,1508
2278,1910
1606,1313
1557,1274
1581,1304
1748,1465
2177,1837
2120,1760
2333,1981
2461,2082
1491,1213
2092,1724
2157,1811
2336,2000
2332,1962
2196,1823
2839,2467
2313,1985
1874,1539
2582,2202
11585,9687
1905,1611
1917,1618
2253,1952
1408,1152
2184,1874
2076,1771
1570,1301
2099,1786
1957,1644
1981,1662
1332,1073
2118,1783
2228,1892
1999,1649
1401,1125
1927,1576
1822,1465
2015,1668
1453,1168
2010,1647
2043,1683
1816,1484
1745,1436
2000,1622
2021,1630
1799,1473
1892,1550
2162,1766
2365,1944
1540,1238
1988,1620
2224,1770
1475,1183
2082,1707
2305,1890
1476,1172
2295,1901
1945,1559
1514,1223
2438,2006
2360,1937
1569,1287
2319,1902
2065,1632
1386,1126
2623,2131
2239,1834
1519,1220
2440,2037
2260,1864
1457,1185
2343,1901
2200,1815
1749,1458
2569,2109
2615,2156
1617,1338
2829,2364
2556,2121
1562,1258
2298,1860
2472,2072
1537,1249
2638,2214
3050,2575
1613,1339
2703,2284
27911,19530
1798,1464
1737,1420
1650,1308
1482,1162
1381,1079
1431,1140
1696,1349
1583,1240
1637,1277
1839,1468
1688,1325
1322,1027
1175,913
1708,1352
1782,1388
1849,1441
1626,1261
1346,1101
1950,1526
1908,1505
1818,1449
1394,1084
1705,1363
1756,1376
1982,1556
1636,1251
1345,1059
1822,1475
1709,1304
2181,1750
1678,1324
1262,1009
1869,1451
1657,1271
1950,1500
1389,1064
1496,1186
1801,1391
1825,1406
1734,1319
1288,1024
1660,1298
1798,1385
1958,1555
1770,1351
1935,1521
1867,1450
1986,1599
1917,1500
1938,1542
1954,1553
1944,1517
1948,1525
2053,1650
2054,1571
2070,1617
2143,1675
1841,1421
2218,1714
1885,1471
1895,1508
2077,1640
1831,1417
1761,1324
2088,1629
1762,1325
2023,1614
1799,1367
1654,1245
2185,1739
1901,1499
1945,1505
2049,1641
1841,1433
1753,1381
1945,1507
1987,1545
1890,1440
1994,1602
1709,1300
1872,1493
1816,1382
1878,1475
1861,1429
2045,1629
1894,1458
2011,1601
1865,1417
2039,1588
1856,1457
2101,1686
1676,1278
2130,1719
2076,1614
1887,1484
1918,1513
2057,1643
1894,1502
2189,1729
1993,1556
1950,1522
2044,1652
1835,1431
1917,1529
2170,1723
1920,1531
1771,1391
2001,1596
1900,1441
1998,1583
1936,1467
2126,1718
1718,1303
1918,1499
1913,1491
1602,1221
1753,1388
2203,1744
1888,1472
2164,1734
2085,1607
2103,1693
2104,1617
2176,1748
1859,1440
1636,1303
1973,1575
2170,1688
2004,1579
1687,1289
1899,1478
1959,1569
1880,1467
1655,1312
2189,1741
1735,1331
1746,1370
1641,1306
1513,1226
1505,1143
1931,1587
1642,1322
2007,1633
2036,1658
2356,1950
2679,2206
1874,1523
2139,1671
1968,1526
1912,1484
2046,1618
2150,1688
2070,1612
1711,1325
1961,1501
1629,1240
1510,1150
2038,1590
1625,1238
2091,1657
2116,1644
1800,1427
2337,1838
2044,1601
2321,1843
1992,1576
2078,1633
1566,1207
1697,1317
1520,1166
1606,1195
2269,1804
1998,1516
2138,1668
1470,1133
2002,1525
1776,1346
1645,1263
1843,1430
1746,1352
2108,1669
1812,1359
1807,1403
1942,1474
2133,1652
2022,1560
1800,1338
1758,1351
1515,1149
1738,1373
2132,1723
1653,1292
1900,1449
1971,1516
1915,1439
1936,1505
1857,1401
2024,1591
1616,1247
1931,1424
1835,1433
2041,1557
2233,1725
2041,1578
1799,1377
1998,1608
1765,1457
2161,1703
1485,1138
1863,1391
2015,1514
1968,1461
2177,1624
1915,1444
1533,1173
1842,1468
2150,1752
1770,1349
2086,1592
2059,1543
1902,1410
1748,1296
2033,1553
2172,1674
1936,1529
2396,1900
2214,1731
2331,1869
2018,1555
2386,1897
1894,1488
2667,2196
1987,1563
2111,1649
2305,1779
2208,1724
2124,1638
2054,1591
2218,1733
1811,1418
1951,1460
2498,1916
1905,1420
2116,1625
2011,1529
1876,1460
1792,1426
2321,1866
1932,1503
2346,1794
1985,1490
2648,2080
2117,1591
2155,1681
1998,1474
2468,1927
2058,1567
2825,2371
1781,1373
2214,1735
2147,1709
2036,1567
2173,1706
2004,1526
2743,2122
1791,1389
2369,1771
2090,1576
2103,1570
1925,1439
2647,2048
1622,1225
2168,1730
2016,1619
2236,1720
1994,1513
1939,1487
2589,2000
2249,1712
2291,1761
2240,1700
2377,1811
2105,1619
2240,1771
2126,1748
2369,1837
2613,2089
1870,1442
2371,1798
2118,1616
2110,1606
2598,2045
1864,1413
2389,1836
2467,1863
2464,1879
2982,2353
2415,1843
1793,1374
2139,1655
2220,1779
2697,2061
2316,1740
2715,2165
2790,2138
2361,1784
2924,2295
2742,2141
2059,1568
2949,2268
2375,1890
2627,2003
2342,1821
3373,2634
2092,1647
2763,2222
2106,1684
2132,1660
2268,1712
2958,2328
2327,1809
3434,2702
2596,2020
65803,31836
27353,12929
1428,1107
2052,1679
1359,1034
1816,1416
1615,1216
1839,1419
1654,1224
1826,1412
1740,1315
1591,1207
2188,1694
1782,1401
1756,1377
1979,1492
1948,1487
1472,1129
1961,1553
1551,1181
1685,1309
1739,1310
1482,1093
1876,1428
1860,1390
1757,1367
1658,1201
1810,1404
1724,1354
1812,1414
1374,1019
1736,1326
1687,1265
1729,1295
1801,1355
1746,1269
1749,1281
1670,1240
1705,1306
1890,1391
1970,1517
1737,1324
1832,1361
1845,1367
1520,1158
1970,1516
1579,1202
1744,1324
1885,1434
2020,1553
1761,1319
1707,1266
1919,1448
1743,1349
1937,1478
2026,1579
1842,1400
1815,1392
1871,1424
1675,1290
1812,1396
1784,1454
1820,1369
