Max Distance:	4294967296	Refresh Period:	2147483648	RPeriod Mask:	7fffffff

0	2017536	350176
1	333520	111664
2	66610736	66609504
3	112048	110960
4	2642960	2642624
5	524480	524096
6	224	160
7	146272	146160
8	243616	243600
9	80	48
10	120352	120352
11	133808	133792
12	576	128
13	108992	108976
14	97184	97184
15	144	0
16	155360	155360
17	64976	64944
18	16	16
19	99408	99408
20	46704	46704
21	272	240
22	96240	96032
23	37248	37248
24	48	16
25	84032	84032
26	27056	27056
27	64	48
28	80128	80128
29	24080	24080
30	352	336
31	82752	82752
32	13776	13776
33	320	320
34	92752	92736
35	9520	9504
36	16	16
37	101888	101888
38	5248	5104
39	0	0
40	117280	117280
41	1984	1984
42	16	16
43	135968	135968
44	16	16
45	1658896	1658896
46	166640	166640
47	0	0
48	16	16
49	11152	11152
50	0	0
51	2512	2512
52	7568	7568
53	0	0
54	768	752
55	6512	6512
56	0	0
57	720	720
58	3952	3952
59	0	0
60	640	640
61	1232	1232
62	16	16
63	2608	2608
64	1056	1056
66	1920	1920
68	1264	1264
70	752	736
72	1664	1664
74	976	960
76	576	560
78	1552	1552
80	1648	1648
82	400	400
84	2432	2432
86	2016	2016
88	320	320
90	2992	2992
92	5696	5696
94	400	384
96	3440	3440
98	3760	3760
100	544	544
102	1424	1408
104	1696	1696
106	448	448
108	448	432
110	2896	2896
112	960	960
114	320	320
116	1168	1168
118	912	912
120	224	224
122	1152	1152
124	1008	1008
126	288	288
128	2560	2560
132	1920	1920
136	2112	2112
140	3744	3744
144	2272	2272
148	1392	1392
152	1328	1328
156	2720	2720
160	1328	1328
164	1024	1024
168	992	992
172	1856	1856
176	1104	1088
180	880	880
184	2928	2928
188	960	960
192	2656	2656
196	1744	1744
200	368	368
204	2432	2432
208	848	848
212	720	720
216	1072	1072
220	640	640
224	704	704
228	1456	1456
232	1008	1008
236	1216	1216
240	1424	1424
244	832	832
248	1840	1840
252	688	688
256	1632	1632
264	1104	1088
272	1840	1840
280	2688	2688
288	1632	1632
296	2656	2656
304	1360	1360
312	1808	1808
