Max Distance:	4294967296	Refresh Period:	2147483648	RPeriod Mask:	7fffffff

0	72160	57408
1	60720	50000
2	99072	80000
3	63904	45472
4	23632	12640
5	20000	7744
6	944	928
7	5520	5424
8	1664	1632
9	416	400
10	1088	1088
11	5856	5840
12	1920	1488
13	528	528
14	720	720
15	880	880
16	2480	2096
17	432	416
18	1008	992
19	272	272
20	688	608
21	352	352
22	5328	192
23	256	48
24	288	288
25	656	640
26	304	64
27	16	0
28	96	96
29	912	768
30	96	48
31	160	96
32	96	96
33	64	64
34	32	16
35	6384	6304
36	416	80
37	16	16
38	5840	5824
39	96	32
40	4240	4240
41	80	80
42	4992	4960
43	256	128
44	288	288
45	80	80
46	720	720
47	992	960
48	272	272
49	320	320
50	272	272
51	144	96
52	4704	4704
53	48	48
54	16	16
55	592	592
56	320	320
57	32	32
58	80	80
59	96	96
60	16	0
61	224	224
62	336	208
63	320	304
64	96	96
66	176	80
68	368	256
70	368	352
72	272	208
74	752	240
76	592	144
78	160	144
80	224	160
82	512	176
84	368	272
86	144	144
88	336	320
90	272	272
92	304	176
94	352	320
96	640	592
98	208	208
100	752	352
102	160	112
104	608	592
106	96	80
108	240	160
110	176	160
112	48	48
114	96	80
116	32	0
118	112	112
120	32	32
122	32	32
124	16	16
126	32	32
128	48	48
132	64	64
136	448	448
140	112	96
144	368	368
148	704	704
152	336	336
156	80	80
160	432	432
164	128	112
168	144	144
172	128	128
176	112	112
180	48	48
184	0	0
188	0	0
192	16	16
196	0	0
200	16	16
204	0	0
208	0	0
212	0	0
216	0	0
220	0	0
224	0	0
228	0	0
232	0	0
236	0	0
240	16	16
244	0	0
248	0	0
252	0	0
256	0	0
264	16	0
272	112	112
280	16	16
288	0	0
296	16	16
304	0	0
312	16	16
320	0	0
328	0	0
336	32	32
344	112	112
352	16	16
360	0	0
368	32	32
376	0	0
384	16	16
392	16	16
400	16	16
408	0	0
416	0	0
424	0	0
432	0	0
440	64	64
448	80	80
456	0	0
464	0	0
472	0	0
480	0	0
488	16	16
496	0	0
504	0	0
512	16	16
528	0	0
544	80	80
560	48	16
576	32	32
592	16	16
608	0	0
624	16	16
640	0	0
656	16	16
672	16	0
688	16	16
704	0	0
720	16	16
736	32	16
752	16	16
768	16	16
784	32	32
800	0	0
816	0	0
832	0	0
848	16	16
864	0	0
880	0	0
896	16	16
912	0	0
928	16	16
944	64	64
960	0	0
976	0	0
992	16	16
1008	0	0
1024	0	0
1056	0	0
1088	96	48
1120	48	16
1152	80	48
1184	32	32
1216	32	32
1248	0	0
1280	16	16
1312	144	128
1344	32	32
1376	32	0
1408	32	16
1440	16	16
1472	0	0
1504	32	32
1536	0	0
1568	16	16
1600	16	16
1632	0	0
1664	0	0
1696	16	16
1728	32	32
1760	0	0
1792	16	16
1824	0	0
1856	0	0
1888	0	0
1920	32	32
1952	32	16
1984	32	16
2016	48	32
2048	64	48
2112	32	32
2176	32	32
2240	48	48
2304	32	16
2368	48	48
2432	0	0
2496	0	0
2560	0	0
2624	16	16
2688	0	0
2752	0	0
2816	0	0
2880	16	16
2944	16	16
3008	0	0
3072	0	0
3136	0	0
3200	0	0
